Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
12/31/2013,136.16,137.05,135.74,136.49,2096000,0,1,135.388645,136.2736031,134.9710244,135.7167756,2096000
12/30/2013,137.16,137.37,135.54,135.92,2403500,0,1,136.38298,136.5917903,134.7721574,135.1500047,2403500
12/27/2013,138.69,138.88,136.79,136.9,2204600,0,1,137.9043124,138.0932361,136.0150761,136.1244529,2204600
12/26/2013,137.18,138.59,137.17,138.27,2161300,0,1,136.4028667,137.8048789,136.3929233,137.4866918,2161300
12/24/2013,136.4,136.98,136.14,136.83,1203200,0,1,135.6272854,136.2039997,135.3687583,136.0548494,1203200
12/23/2013,137.69,138.09,136.32,136.4,2945100,0,1,136.9099775,137.3077115,135.5477386,135.6272854,2945100
12/20/2013,135.49,137.85,135.49,136.67,5454600,0,1,134.7224406,137.0690711,134.7224406,135.8957559,5454600
12/19/2013,135,136.23,133.94,135.17,3177100,0,1,134.2352165,135.4582485,133.1812215,134.4042535,3177100
12/18/2013,135.86,136.44,132.84,135.49,5632400,0,1,135.0903446,135.6670588,132.087453,134.7224406,5632400
12/17/2013,137.92,138.1,135.36,135.88,6753000,0,1,137.1386745,137.3176548,134.5931771,135.1102313,6753000
12/16/2013,134.27,135.2,133.94,134.72,3979500,0,1,133.509352,134.4340835,133.1812215,133.9568027,3979500
12/13/2013,133.45,134.25,133.14,133.83,3139400,0,1,132.6939974,133.4894653,132.3857535,133.0718446,3139400
12/12/2013,132.11,133.65,131.9,132.96,3617700,0,1,131.3615885,132.8928643,131.1527782,132.2067732,3617700
12/11/2013,133.7,133.81,132.44,132.56,3358300,0,1,132.9425811,133.0519579,131.6897191,131.8090393,3358300
12/10/2013,133.65,135.04,132.18,133.7,4061300,0,1,132.8928643,134.2749899,131.431192,132.9425811,4061300
12/9/2013,135.49,135.95,134.57,134.68,3799000,0,1,134.7224406,135.1798347,133.8076525,133.9170293,3799000
12/6/2013,134.58,135.75,134,135.18,5341800,0,1,133.8175958,134.9809677,133.2408816,134.4141968,5341800
12/5/2013,131.26,133.1,131.25,132.73,3665100,0,1,130.5164038,132.3459801,130.5064605,131.9780762,3665100
12/4/2013,131.73,132.15,130.55,131.5,5137100,0,1,130.9837413,131.4013619,129.810426,130.7550442,5137100
12/3/2013,133.93,133.93,131.92,132,5171900,0,1,133.1712781,133.1712781,131.1726649,131.2522117,5171900
12/2/2013,134.99,135.46,133.62,134.16,3378100,0,1,134.2252732,134.6926106,132.8630343,133.3999752,3378100
11/29/2013,134.82,135.23,134.18,134.25,1680900,0,1,134.0562362,134.4639135,133.4198619,133.4894653,1680900
11/27/2013,135.05,136.3,134.17,134.72,3350900,0,1,134.2849333,135.5278519,133.4099185,133.9568027,3350900
11/26/2013,133,135.44,132.56,134.78,4200800,0,1,132.2465466,134.6727239,131.8090393,134.0164628,4200800
11/25/2013,134.01,134.86,130.58,133,7181700,0,1,133.2508249,134.0960096,129.8402561,132.2465466,7181700
11/22/2013,133.49,136.12,133.43,135.97,4290200,0,1,132.7337708,135.3488716,132.6741107,135.1997214,4290200
11/21/2013,132.45,133.29,131.2,132.93,4700600,0,1,131.6996624,132.5349038,130.4567438,132.1769432,4700600
11/20/2013,135.8,135.89,132.29,132.45,8634900,0,1,135.0306845,135.1201746,131.5405688,131.6996624,8634900
