"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"United States",,0,1449,0.00485436893203883,0.00625,0.00485436893203883,100025437
2018-11-30,"New York, NY","NY",1,2392,0.00588730025231287,0.00885702235343737,-0.0136082474226804,4976691
2018-11-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2777,0.00761973875181422,0.00945110868774991,0.0146145414687614,2947863
2018-11-30,"Chicago, IL","IL",3,1654,0.00976800976800977,0.0110024449877751,-0.00541190619362598,3122353
2018-11-30,"Dallas-Fort Worth, TX","TX",4,1611,0.00876643706950532,0.0106649937264743,0.00373831775700935,1868272
2018-11-30,"Philadelphia, PA","PA",5,1581,0.00700636942675159,0.00957854406130268,-0.00566037735849057,2023021
2018-11-30,"Houston, TX","TX",6,1561,0.00644745325596389,0.00839793281653747,0.00839793281653747,1760409
2018-11-30,"Washington, DC","VA",7,2145,0.00421348314606742,0.00562587904360056,-0.00278940027894003,1882122
2018-11-30,"Miami-Fort Lauderdale, FL","FL",8,1874,0.00806885422270038,0.00969827586206897,0.00969827586206897,2390141
2018-11-30,"Atlanta, GA","GA",9,1411,0.0100214745884037,0.0121951219512195,0.0151079136690647,1830682
2018-11-30,"Boston, MA","MA",10,2377,0.00337695230054875,0.00464919695688926,-0.00751565762004175,1477909
2018-11-30,"San Francisco, CA","CA",11,3417,0.0041140170437849,0.00529567519858782,-0.000292568753657109,1232556
2018-11-30,"Detroit, MI","MI",12,1207,0.00835421888053467,0.0108877721943049,0.00667222685571309,1658038
2018-11-30,"Riverside, CA","CA",13,1925,0.0099685204616999,0.0136914165350184,0.0394168466522678,1188181
2018-11-30,"Phoenix, AZ","AZ",14,1383,0.0161645848640705,0.0176600441501104,0.0221729490022173,1458016
2018-11-30,"Seattle, WA","WA",15,2192,0.0087436723423838,0.00967296176877015,-0.0139451192082771,1155848
2018-11-30,"Minneapolis-St Paul, MN","MN",16,1659,0.010353227771011,0.0128205128205128,0.0159216166564605,1139037
2018-11-30,"San Diego, CA","CA",17,2573,0.0102080879466038,0.0125934671389217,0.0106048703849175,821350
2018-11-30,"St. Louis, MO","MO",18,1144,0.00262927256792287,0.00438981562774363,-0.00435161009573542,1036020
2018-11-30,"Tampa, FL","FL",19,1402,0.00718390804597701,0.00863309352517986,0.0286133528980191,1078610
2018-11-30,"Baltimore, MD","MD",20,1744,0.00172314761631246,0.00229885057471264,0.00114810562571757,980075
2018-11-30,"Denver, CO","CO",21,2075,0.00728155339805825,0.0102239532619279,0.01318359375,872912
2018-11-30,"Pittsburgh, PA","PA",22,1092,0.00367647058823529,0.00738007380073801,0.0215154349859682,861617
2018-11-30,"Portland, OR","OR",23,1846,0.00544662309368192,0.00654307524536532,-0.0243128964059197,714961
2018-11-30,"Charlotte, NC","NC",24,1308,0.00925925925925926,0.0116009280742459,0.0108191653786708,862460
2018-11-30,"Sacramento, CA","CA",25,1864,0.0092041147807255,0.011943539630836,0.0146978769733261,655658
2018-11-30,"San Antonio, TX","TX",26,1340,0.00600600600600601,0.0067618332081142,-0.00371747211895911,646500
2018-11-30,"Orlando, FL","FL",27,1472,0.0123796423658872,0.0158730158730159,0.0439716312056738,763907
2018-11-30,"Cincinnati, OH","OH",28,1288,0.00546448087431694,0.00861393891934221,0.00625,700033
2018-11-30,"Cleveland, OH","OH",29,1147,0.00437828371278459,0.00614035087719298,-0.00434027777777778,725642
2018-11-30,"Kansas City, MO","MO",30,1276,0.00710339384372534,0.00949367088607595,0,691031
2018-11-30,"Columbus, OH","OH",31,1343,0.00373692077727952,0.00523952095808383,0.0120572720422005,640857
2018-11-30,"Indianapolis, IN","IN",32,1209,0.00918196994991653,0.0117154811715481,-0.00575657894736842,708637
2018-11-30,"San Jose, CA","CA",33,3521,0.00427837992013691,0.00628751071734781,-0.000851305334846765,465891
2018-11-30,"Austin, TX","TX",34,1689,0.00237388724035608,0.00416171224732461,-0.00295159386068477,534092
2018-11-30,"Virginia Beach, VA","VA",35,1422,0.00708215297450425,0.00851063829787234,0.0106609808102345,561301
2018-11-30,"Nashville, TN","TN",36,1499,0.00401875418620228,0.00536552649228706,0,633494
2018-11-30,"Providence, RI","RI",37,1681,0.00478182904961148,0.00779376498800959,0.0200242718446602,498198
2018-11-30,"Milwaukee, WI","WI",38,1324,0.0076103500761035,0.00684410646387833,-0.0307467057101025,408331
2018-11-30,"Jacksonville, FL","FL",39,1357,0.0104244229337305,0.0126865671641791,0.0478764478764479,487779
2018-11-30,"Memphis, TN","TN",40,1104,0.00638103919781222,0.00914076782449726,0.0298507462686567,444984
2018-11-30,"Oklahoma City, OK","OK",41,1093,0.000915750915750916,0.00183318056828598,-0.00636363636363636,471736
2018-11-30,"Louisville-Jefferson County, KY","KY",42,1191,0.000840336134453782,0.00168208578637511,-0.00167644593461861,552603
2018-11-30,"Hartford, CT","CT",43,1583,0.0115015974440895,0.0127959053103007,-0.0161591050341827,397658
2018-11-30,"Richmond, VA","VA",44,1402,0.00646087580760948,0.00790797987059669,0.00863309352517986,452493
2018-11-30,"New Orleans, LA","LA",45,1376,0.00953778429933969,0.00879765395894428,-0.0213371266002845,395614
2018-11-30,"Buffalo, NY","NY",46,1211,0.00665004156275977,0.0100083402835696,0.00248344370860927,360925
2018-11-30,"Raleigh, NC","NC",47,1443,0.00208333333333333,0.00347705146036161,0.00627615062761506,411252
2018-11-30,"Birmingham, AL","AL",48,1066,0.0142721217887726,0.0181470869149952,-0.00280636108512629,410197
2018-11-30,"Salt Lake City, UT","UT",49,1595,0.00567465321563682,0.00694444444444444,0.00125549278091651,343836
2018-11-30,"Rochester, NY","NY",50,1374,0.0102941176470588,0.0132743362831858,-0.0330752990851513,328957
2018-11-30,"Grand Rapids, MI","MI",51,1349,0.00446760982874162,0.00521609538002981,0.00446760982874162,350503
