Date,Value
2016-04-18,664.42
2016-04-15,662.5
2016-04-14,657.58
2016-04-13,658.22
2016-04-12,662.77
2016-04-11,657.51
2016-04-08,660.11
2016-04-07,656.44
2016-04-06,656.16
2016-04-05,656.55
2016-04-04,668.34
2016-04-01,671.04
2016-03-31,668.57
2016-03-30,665.32
2016-03-29,666.97
2016-03-28,657.28
2016-03-24,660.2
2016-03-23,658.83
2016-03-22,654.99
2016-03-21,657.01
2016-03-18,658.54
2016-03-17,663.19
2016-03-16,655.74
2016-03-15,649.32
2016-03-14,647.64
2016-03-11,647.14
2016-03-10,645.96
2016-03-09,646.0
2016-03-08,642.77
2016-03-07,636.61
2016-03-04,633.05
2016-03-03,625.79
2016-03-02,623.05
2016-03-01,618.5
2016-02-29,620.7
2016-02-26,619.03
2016-02-25,637.8
2016-02-24,630.2
2016-02-23,627.17
2016-02-22,626.08
2016-02-19,618.61
2016-02-18,622.74
2016-02-17,611.99
2016-02-16,614.49
2016-02-12,610.87
2016-02-11,614.03
2016-02-10,626.02
2016-02-09,626.77
2016-02-08,622.95
2016-02-05,624.62
2016-02-04,622.07
2016-02-03,626.64
2016-02-02,618.63
2016-02-01,616.43
2016-01-29,611.35
2016-01-28,599.19
2016-01-27,589.5
2016-01-26,588.47
2016-01-25,584.04
2016-01-22,589.14
2016-01-21,578.66
2016-01-20,579.03
2016-01-19,591.87
2016-01-15,582.79
2016-01-14,587.42
2016-01-13,579.01
2016-01-12,579.49
2016-01-11,582.21
2016-01-08,578.82
2016-01-07,577.51
2016-01-06,580.5
2016-01-05,580.97
2016-01-04,577.48
2015-12-31,577.82
2015-12-30,584.5
2015-12-29,585.11
2015-12-28,582.4
2015-12-24,581.02
2015-12-23,581.01
2015-12-22,572.5
2015-12-21,567.45
2015-12-18,567.94
2015-12-17,574.79
2015-12-16,574.11
2015-12-15,558.87
2015-12-14,553.88
2015-12-11,551.13
2015-12-10,552.56
2015-12-09,561.65
2015-12-08,562.26
2015-12-07,562.9
2015-12-04,561.2
2015-12-03,551.93
2015-12-02,556.1
2015-12-01,567.3
2015-11-30,563.13
2015-11-27,563.02
2015-11-25,560.63
2015-11-24,563.28
2015-11-23,565.82
2015-11-20,571.09
2015-11-19,569.11
2015-11-18,562.8
2015-11-17,559.03
2015-11-16,568.8
2015-11-13,560.58
2015-11-12,562.34
2015-11-11,566.82
2015-11-10,561.98
2015-11-09,558.45
2015-11-06,556.46
2015-11-05,578.69
2015-11-04,583.45
2015-11-03,581.32
2015-11-02,580.53
2015-10-30,580.5
2015-10-29,577.86
2015-10-28,582.77
2015-10-27,590.53
2015-10-26,592.05
2015-10-23,594.41
2015-10-22,605.36
2015-10-21,598.31
2015-10-20,599.39
2015-10-19,597.97
2015-10-16,596.98
2015-10-15,596.04
2015-10-14,587.06
2015-10-13,587.3
2015-10-12,588.63
2015-10-09,583.36
2015-10-08,585.88
2015-10-07,578.69
2015-10-06,580.54
2015-10-05,585.37
2015-10-02,577.25
2015-10-01,569.59
2015-09-30,576.83
2015-09-29,567.43
2015-09-28,567.36
2015-09-25,572.36
2015-09-24,566.81
2015-09-23,562.39
2015-09-22,560.81
2015-09-21,567.69
2015-09-18,564.99
2015-09-17,567.72
2015-09-16,560.12
2015-09-15,553.74
2015-09-14,551.21
2015-09-11,549.46
2015-09-10,544.89
2015-09-09,546.03
2015-09-08,553.37
2015-09-04,541.97
2015-09-03,550.24
2015-09-02,547.29
2015-09-01,546.94
2015-08-31,562.02
2015-08-28,572.21
2015-08-27,573.76
2015-08-26,566.58
2015-08-25,557.17
2015-08-24,573.22
2015-08-21,597.65
2015-08-20,604.04
2015-08-19,607.92
2015-08-18,605.27
2015-08-17,606.72
2015-08-14,604.29
2015-08-13,599.74
2015-08-12,599.14
2015-08-11,590.08
2015-08-10,587.59
2015-08-07,590.45
2015-08-06,583.01
2015-08-05,580.97
2015-08-04,579.37
2015-08-03,587.77
2015-07-31,583.94
2015-07-30,578.88
2015-07-29,575.2
2015-07-28,573.3
2015-07-27,570.87
2015-07-24,562.74
2015-07-23,562.16
2015-07-22,570.7
2015-07-21,567.64
2015-07-20,573.17
2015-07-17,575.42
2015-07-16,581.56
2015-07-15,573.15
2015-07-14,570.18
2015-07-13,570.87
2015-07-10,570.96
2015-07-09,567.92
2015-07-08,574.26
2015-07-07,576.72
2015-07-06,562.83
2015-07-02,561.13
2015-07-01,553.58
2015-06-30,550.32
2015-06-29,552.17
2015-06-26,555.12
