"Symbol: $SRCS",,,,,
"Date Time","Open","High","Low","Close","Change"
2000-01-03,204.23,204.23,204.23,204.23,0
2000-01-04,201.13,201.13,201.13,201.13,-3.0999999999999943
2000-01-05,201.84,201.84,201.84,201.84,0.710000000000008
2000-01-06,204.38,204.38,204.38,204.38,2.539999999999992
2000-01-07,212.88,212.88,212.88,212.88,8.5
2000-01-10,210.59,210.59,210.59,210.59,-2.289999999999992
2000-01-11,212.76,212.76,212.76,212.76,2.1699999999999875
2000-01-12,213.43,213.43,213.43,213.43,0.6700000000000159
2000-01-13,212.24,212.24,212.24,212.24,-1.1899999999999977
2000-01-14,211.1,211.1,211.1,211.1,-1.1400000000000148
2000-01-18,211.75,211.75,211.75,211.75,0.6500000000000057
2000-01-19,210.61,210.61,210.61,210.61,-1.1399999999999864
2000-01-20,207.46,207.46,207.46,207.46,-3.1500000000000057
2000-01-21,203.87,203.87,203.87,203.87,-3.5900000000000034
2000-01-24,200.8,200.8,200.8,200.8,-3.069999999999993
2000-01-25,197.84,197.84,197.84,197.84,-2.960000000000008
2000-01-26,197.79,197.79,197.79,197.79,-0.05000000000001137
2000-01-27,196.56,196.56,196.56,196.56,-1.2299999999999898
2000-01-28,191.98,191.98,191.98,191.98,-4.5800000000000125
2000-01-31,193.87,193.87,193.87,193.87,1.8900000000000148
2000-02-01,193.78,193.78,193.78,193.78,-0.09000000000000341
2000-02-02,192.27,192.27,192.27,192.27,-1.509999999999991
2000-02-03,191.65,191.65,191.65,191.65,-0.6200000000000045
2000-02-04,189,189,189,189,-2.6500000000000057
2000-02-07,187.99,187.99,187.99,187.99,-1.009999999999991
2000-02-08,189.9,189.9,189.9,189.9,1.9099999999999966
2000-02-09,188.35,188.35,188.35,188.35,-1.5500000000000114
2000-02-10,186.51,186.51,186.51,186.51,-1.8400000000000034
2000-02-11,184.51,184.51,184.51,184.51,-2
2000-02-14,182.34,182.34,182.34,182.34,-2.1699999999999875
2000-02-15,186.28,186.28,186.28,186.28,3.9399999999999977
2000-02-16,183.81,183.81,183.81,183.81,-2.469999999999999
2000-02-17,183.02,183.02,183.02,183.02,-0.789999999999992
2000-02-18,180.08,180.08,180.08,180.08,-2.9399999999999977
2000-02-22,182.9,182.9,182.9,182.9,2.819999999999993
2000-02-23,179.81,179.81,179.81,179.81,-3.0900000000000034
2000-02-24,174.93,174.93,174.93,174.93,-4.8799999999999955
2000-02-25,171.24,171.24,171.24,171.24,-3.6899999999999977
2000-02-28,175,175,175,175,3.759999999999991
2000-02-29,174.01,174.01,174.01,174.01,-0.9900000000000091
2000-03-01,175.51,175.51,175.51,175.51,1.5
2000-03-02,171.6,171.6,171.6,171.6,-3.9099999999999966
2000-03-03,173.2,173.2,173.2,173.2,1.5999999999999943
2000-03-06,170.1,170.1,170.1,170.1,-3.0999999999999943
2000-03-07,155,155,155,155,-15.099999999999994
2000-03-08,156.74,156.74,156.74,156.74,1.740000000000009
2000-03-09,156.67,156.67,156.67,156.67,-0.0700000000000216
2000-03-10,151.15,151.15,151.15,151.15,-5.519999999999982
2000-03-13,153.08,153.08,153.08,153.08,1.9300000000000068
2000-03-14,150.55,150.55,150.55,150.55,-2.530000000000001
2000-03-15,162.42,162.42,162.42,162.42,11.869999999999976
2000-03-16,171.46,171.46,171.46,171.46,9.04000000000002
2000-03-17,167.74,167.74,167.74,167.74,-3.719999999999999
2000-03-20,167.52,167.52,167.52,167.52,-0.21999999999999886
2000-03-21,169.48,169.48,169.48,169.48,1.9599999999999795
2000-03-22,165.97,165.97,165.97,165.97,-3.509999999999991
2000-03-23,167.01,167.01,167.01,167.01,1.039999999999992
2000-03-24,166.51,166.51,166.51,166.51,-0.5
2000-03-27,162.45,162.45,162.45,162.45,-4.060000000000002
2000-03-28,163.39,163.39,163.39,163.39,0.9399999999999977
2000-03-29,167.27,167.27,167.27,167.27,3.880000000000024
2000-03-30,173.46,173.46,173.46,173.46,6.189999999999998
2000-03-31,171.55,171.55,171.55,171.55,-1.9099999999999966
2000-04-03,178.76,178.76,178.76,178.76,7.2099999999999795
2000-04-04,183.23,183.23,183.23,183.23,4.469999999999999
2000-04-05,179.06,179.06,179.06,179.06,-4.1699999999999875
2000-04-06,177.26,177.26,177.26,177.26,-1.8000000000000114
2000-04-07,176.98,176.98,176.98,176.98,-0.28000000000000114
2000-04-10,177.37,177.37,177.37,177.37,0.3900000000000148
2000-04-11,181.69,181.69,181.69,181.69,4.319999999999993
2000-04-12,186.42,186.42,186.42,186.42,4.72999999999999
2000-04-13,184.54,184.54,184.54,184.54,-1.8799999999999955
2000-04-14,175.71,175.71,175.71,175.71,-8.829999999999984
2000-04-17,181.29,181.29,181.29,181.29,5.579999999999984
2000-04-18,177.96,177.96,177.96,177.96,-3.329999999999984
2000-04-19,178.55,178.55,178.55,178.55,0.5900000000000034
2000-04-20,181.71,181.71,181.71,181.71,3.1599999999999966
2000-04-24,185.31,185.31,185.31,185.31,3.5999999999999943
2000-04-25,185.16,185.16,185.16,185.16,-0.15000000000000568
2000-04-26,181.31,181.31,181.31,181.31,-3.8499999999999943
2000-04-27,178.95,178.95,178.95,178.95,-2.3600000000000136
2000-04-28,175.73,175.73,175.73,175.73,-3.219999999999999
2000-05-01,175.81,175.81,175.81,175.81,0.0800000000000125
2000-05-02,176.64,176.64,176.64,176.64,0.8299999999999841
2000-05-03,178.6,178.6,178.6,178.6,1.960000000000008
2000-05-04,178.83,178.83,178.83,178.83,0.2300000000000182
2000-05-05,178.91,178.91,178.91,178.91,0.07999999999998408
2000-05-08,181.84,181.84,181.84,181.84,2.930000000000007
2000-05-09,184.76,184.76,184.76,184.76,2.9199999999999875
2000-05-10,188.74,188.74,188.74,188.74,3.980000000000018
2000-05-11,191.05,191.05,191.05,191.05,2.3100000000000023
2000-05-12,188.74,188.74,188.74,188.74,-2.3100000000000023
2000-05-15,192.17,192.17,192.17,192.17,3.4299999999999784
2000-05-16,189.81,189.81,189.81,189.81,-2.359999999999985
2000-05-17,188.33,188.33,188.33,188.33,-1.4799999999999898
2000-05-18,189.19,189.19,189.19,189.19,0.8599999999999852
2000-05-19,189.16,189.16,189.16,189.16,-0.030000000000001137
2000-05-22,190.14,190.14,190.14,190.14,0.9799999999999898
2000-05-23,188.89,188.89,188.89,188.89,-1.25
2000-05-24,193.8,193.8,193.8,193.8,4.910000000000025
2000-05-25,192.22,192.22,192.22,192.22,-1.5800000000000125
2000-05-26,195.12,195.12,195.12,195.12,2.9000000000000057
2000-05-30,194,194,194,194,-1.1200000000000045
2000-05-31,192.32,192.32,192.32,192.32,-1.6800000000000068
2000-06-01,193.14,193.14,193.14,193.14,0.8199999999999932
2000-06-02,189.73,189.73,189.73,189.73,-3.4099999999999966
2000-06-05,187.61,187.61,187.61,187.61,-2.119999999999976
2000-06-06,188.74,188.74,188.74,188.74,1.1299999999999955
2000-06-07,191.7,191.7,191.7,191.7,2.9599999999999795
2000-06-08,189.66,189.66,189.66,189.66,-2.039999999999992
2000-06-09,189.02,189.02,189.02,189.02,-0.6399999999999864
2000-06-12,189.49,189.49,189.49,189.49,0.46999999999999886
