"Symbol: $SREN",,,,,
"Date Time","Open","High","Low","Close","Change"
2000-01-03,206.58,206.58,206.58,206.58,0
2000-01-04,202.38,202.38,202.38,202.38,-4.200000000000017
2000-01-05,208.56,208.56,208.56,208.56,6.180000000000007
2000-01-06,218.14,218.14,218.14,218.14,9.579999999999984
2000-01-07,220.85,220.85,220.85,220.85,2.710000000000008
2000-01-10,217.7,217.7,217.7,217.7,-3.1500000000000057
2000-01-11,219.11,219.11,219.11,219.11,1.410000000000025
2000-01-12,216.12,216.12,216.12,216.12,-2.990000000000009
2000-01-13,219.62,219.62,219.62,219.62,3.5
2000-01-14,217.02,217.02,217.02,217.02,-2.5999999999999943
2000-01-18,220.67,220.67,220.67,220.67,3.6499999999999773
2000-01-19,221.11,221.11,221.11,221.11,0.44000000000002615
2000-01-20,216.38,216.38,216.38,216.38,-4.730000000000018
2000-01-21,220.58,220.58,220.58,220.58,4.200000000000017
2000-01-24,216.62,216.62,216.62,216.62,-3.960000000000008
2000-01-25,215.53,215.53,215.53,215.53,-1.0900000000000034
2000-01-26,213.09,213.09,213.09,213.09,-2.4399999999999977
2000-01-27,207.39,207.39,207.39,207.39,-5.700000000000017
2000-01-28,202.49,202.49,202.49,202.49,-4.899999999999977
2000-01-31,209.22,209.22,209.22,209.22,6.72999999999999
2000-02-01,209.12,209.12,209.12,209.12,-0.09999999999999432
2000-02-02,209.63,209.63,209.63,209.63,0.5099999999999909
2000-02-03,206.82,206.82,206.82,206.82,-2.8100000000000023
2000-02-04,201.4,201.4,201.4,201.4,-5.4199999999999875
2000-02-07,202.75,202.75,202.75,202.75,1.3499999999999943
2000-02-08,200.32,200.32,200.32,200.32,-2.430000000000007
2000-02-09,192.26,192.26,192.26,192.26,-8.060000000000002
2000-02-10,196.08,196.08,196.08,196.08,3.8200000000000216
2000-02-11,191.65,191.65,191.65,191.65,-4.430000000000007
2000-02-14,196.15,196.15,196.15,196.15,4.5
2000-02-15,203.84,203.84,203.84,203.84,7.689999999999998
2000-02-16,205.13,205.13,205.13,205.13,1.289999999999992
2000-02-17,203.87,203.87,203.87,203.87,-1.259999999999991
2000-02-18,198.28,198.28,198.28,198.28,-5.590000000000003
2000-02-22,196.19,196.19,196.19,196.19,-2.0900000000000034
2000-02-23,191.73,191.73,191.73,191.73,-4.460000000000008
2000-02-24,188.3,188.3,188.3,188.3,-3.4299999999999784
2000-02-25,186.09,186.09,186.09,186.09,-2.210000000000008
2000-02-28,191.8,191.8,191.8,191.8,5.710000000000008
2000-02-29,196.1,196.1,196.1,196.1,4.299999999999983
2000-03-01,200.42,200.42,200.42,200.42,4.319999999999993
