"Symbol: $SRHC",,,,,
"Date Time","Open","High","Low","Close","Change"
2000-01-03,325.12,325.12,325.12,325.12,0
2000-01-04,312.78,312.78,312.78,312.78,-12.340000000000032
2000-01-05,319.65,319.65,319.65,319.65,6.8700000000000045
2000-01-06,328.78,328.78,328.78,328.78,9.129999999999995
2000-01-07,354.94,354.94,354.94,354.94,26.160000000000025
2000-01-10,347.81,347.81,347.81,347.81,-7.1299999999999955
2000-01-11,345.3,345.3,345.3,345.3,-2.509999999999991
2000-01-12,345.44,345.44,345.44,345.44,0.13999999999998636
2000-01-13,349.83,349.83,349.83,349.83,4.389999999999986
2000-01-14,352.8,352.8,352.8,352.8,2.9700000000000273
2000-01-18,345.77,345.77,345.77,345.77,-7.03000000000003
2000-01-19,349.52,349.52,349.52,349.52,3.75
2000-01-20,344.35,344.35,344.35,344.35,-5.169999999999959
2000-01-21,341.72,341.72,341.72,341.72,-2.6299999999999955
2000-01-24,326.61,326.61,326.61,326.61,-15.110000000000014
2000-01-25,327.91,327.91,327.91,327.91,1.3000000000000114
2000-01-26,330.39,330.39,330.39,330.39,2.4799999999999613
2000-01-27,331.2,331.2,331.2,331.2,0.8100000000000023
2000-01-28,336.44,336.44,336.44,336.44,5.240000000000009
2000-01-31,345.91,345.91,345.91,345.91,9.470000000000027
2000-02-01,345.73,345.73,345.73,345.73,-0.18000000000000682
2000-02-02,345.21,345.21,345.21,345.21,-0.5200000000000387
2000-02-03,345.77,345.77,345.77,345.77,0.5600000000000023
2000-02-04,345.52,345.52,345.52,345.52,-0.25
2000-02-07,348.37,348.37,348.37,348.37,2.8500000000000227
2000-02-08,352.13,352.13,352.13,352.13,3.759999999999991
2000-02-09,342.62,342.62,342.62,342.62,-9.509999999999991
2000-02-10,334.45,334.45,334.45,334.45,-8.170000000000016
2000-02-11,324.28,324.28,324.28,324.28,-10.170000000000016
2000-02-14,328.29,328.29,328.29,328.29,4.010000000000048
2000-02-15,330.85,330.85,330.85,330.85,2.5600000000000023
2000-02-16,330.85,330.85,330.85,330.85,0
2000-02-17,328.64,328.64,328.64,328.64,-2.2100000000000364
2000-02-18,319.48,319.48,319.48,319.48,-9.159999999999968
2000-02-22,323.29,323.29,323.29,323.29,3.8100000000000023
2000-02-23,321.05,321.05,321.05,321.05,-2.240000000000009
2000-02-24,315.6,315.6,315.6,315.6,-5.449999999999989
2000-02-25,308.89,308.89,308.89,308.89,-6.710000000000036
2000-02-28,309.37,309.37,309.37,309.37,0.4800000000000182
2000-02-29,309.58,309.58,309.58,309.58,0.20999999999997954
2000-03-01,305.31,305.31,305.31,305.31,-4.269999999999982
2000-03-02,306.81,306.81,306.81,306.81,1.5
2000-03-03,307.48,307.48,307.48,307.48,0.6700000000000159
2000-03-06,298.39,298.39,298.39,298.39,-9.090000000000032
2000-03-07,283.19,283.19,283.19,283.19,-15.199999999999989
2000-03-08,297.28,297.28,297.28,297.28,14.089999999999975
2000-03-09,312.64,312.64,312.64,312.64,15.360000000000014
2000-03-10,312.18,312.18,312.18,312.18,-0.45999999999997954
2000-03-13,303.9,303.9,303.9,303.9,-8.28000000000003
2000-03-14,296.7,296.7,296.7,296.7,-7.199999999999989
2000-03-15,316.5,316.5,316.5,316.5,19.80000000000001
2000-03-16,335.33,335.33,335.33,335.33,18.829999999999984
2000-03-17,326.29,326.29,326.29,326.29,-9.039999999999964
2000-03-20,323.35,323.35,323.35,323.35,-2.9399999999999977
2000-03-21,330.11,330.11,330.11,330.11,6.759999999999991
2000-03-22,331.84,331.84,331.84,331.84,1.7299999999999613
2000-03-23,329.19,329.19,329.19,329.19,-2.6499999999999773
2000-03-24,320.19,320.19,320.19,320.19,-9
2000-03-27,317.97,317.97,317.97,317.97,-2.2199999999999704
2000-03-28,319.83,319.83,319.83,319.83,1.8599999999999568
2000-03-29,327.1,327.1,327.1,327.1,7.270000000000039
2000-03-30,324.35,324.35,324.35,324.35,-2.75
2000-03-31,326.26,326.26,326.26,326.26,1.9099999999999682
2000-04-03,340.65,340.65,340.65,340.65,14.389999999999986
2000-04-04,350.67,350.67,350.67,350.67,10.020000000000039
2000-04-05,346.9,346.9,346.9,346.9,-3.7700000000000387
2000-04-06,340.99,340.99,340.99,340.99,-5.909999999999968
2000-04-07,338.97,338.97,338.97,338.97,-2.019999999999982
2000-04-10,345.23,345.23,345.23,345.23,6.259999999999991
2000-04-11,352.06,352.06,352.06,352.06,6.829999999999984
2000-04-12,350.11,350.11,350.11,350.11,-1.9499999999999886
2000-04-13,347.89,347.89,347.89,347.89,-2.2200000000000273
2000-04-14,334.58,334.58,334.58,334.58,-13.310000000000002
2000-04-17,339.3,339.3,339.3,339.3,4.720000000000027
2000-04-18,350,350,350,350,10.699999999999989
2000-04-19,351.45,351.45,351.45,351.45,1.4499999999999886
2000-04-20,351.82,351.82,351.82,351.82,0.37000000000000455
2000-04-24,358.74,358.74,358.74,358.74,6.920000000000016
2000-04-25,360.54,360.54,360.54,360.54,1.8000000000000114
2000-04-26,357.92,357.92,357.92,357.92,-2.6200000000000045
2000-04-27,357.41,357.41,357.41,357.41,-0.5099999999999909
2000-04-28,351.91,351.91,351.91,351.91,-5.5
2000-05-01,349.62,349.62,349.62,349.62,-2.2900000000000205
2000-05-02,354.36,354.36,354.36,354.36,4.740000000000009
2000-05-03,350.57,350.57,350.57,350.57,-3.7900000000000205
2000-05-04,351.69,351.69,351.69,351.69,1.1200000000000045
2000-05-05,363.02,363.02,363.02,363.02,11.329999999999984
2000-05-08,371.22,371.22,371.22,371.22,8.200000000000045
2000-05-09,366.68,366.68,366.68,366.68,-4.5400000000000205
2000-05-10,361.68,361.68,361.68,361.68,-5
2000-05-11,358.41,358.41,358.41,358.41,-3.269999999999982
2000-05-12,358.95,358.95,358.95,358.95,0.5399999999999636
2000-05-15,367.16,367.16,367.16,367.16,8.210000000000036
2000-05-16,369.72,369.72,369.72,369.72,2.5600000000000023
2000-05-17,368.01,368.01,368.01,368.01,-1.7100000000000364
2000-05-18,370.48,370.48,370.48,370.48,2.4700000000000273
2000-05-19,370.77,370.77,370.77,370.77,0.2899999999999636
2000-05-22,366.5,366.5,366.5,366.5,-4.269999999999982
2000-05-23,367.9,367.9,367.9,367.9,1.3999999999999773
2000-05-24,371.78,371.78,371.78,371.78,3.8799999999999955
2000-05-25,372.29,372.29,372.29,372.29,0.5100000000000477
