"Symbol: $SRIT",,,,,
"Date Time","Open","High","Low","Close","Change"
2000-01-03,829.18,829.18,829.18,829.18,0
2000-01-04,783.43,783.43,783.43,783.43,-45.75
2000-01-05,775.09,775.09,775.09,775.09,-8.339999999999918
2000-01-06,744.37,744.37,744.37,744.37,-30.720000000000027
2000-01-07,756.69,756.69,756.69,756.69,12.32000000000005
2000-01-10,788.03,788.03,788.03,788.03,31.339999999999918
2000-01-11,768.91,768.91,768.91,768.91,-19.120000000000005
2000-01-12,755.71,755.71,755.71,755.71,-13.199999999999932
2000-01-13,765.27,765.27,765.27,765.27,9.559999999999945
2000-01-14,787.39,787.39,787.39,787.39,22.120000000000005
2000-01-18,790.24,790.24,790.24,790.24,2.8500000000000227
2000-01-19,787.95,787.95,787.95,787.95,-2.2899999999999636
2000-01-20,795.74,795.74,795.74,795.74,7.789999999999964
2000-01-21,795.6,795.6,795.6,795.6,-0.13999999999998636
2000-01-24,771.48,771.48,771.48,771.48,-24.120000000000005
2000-01-25,788.95,788.95,788.95,788.95,17.470000000000027
2000-01-26,760.28,760.28,760.28,760.28,-28.670000000000073
2000-01-27,752.27,752.27,752.27,752.27,-8.009999999999991
2000-01-28,726.4,726.4,726.4,726.4,-25.870000000000005
2000-01-31,745.4,745.4,745.4,745.4,19
2000-02-01,764.92,764.92,764.92,764.92,19.519999999999982
2000-02-02,772.23,772.23,772.23,772.23,7.310000000000059
2000-02-03,799.41,799.41,799.41,799.41,27.17999999999995
2000-02-04,811.14,811.14,811.14,811.14,11.730000000000018
2000-02-07,821.94,821.94,821.94,821.94,10.800000000000068
2000-02-08,836.08,836.08,836.08,836.08,14.139999999999986
2000-02-09,821.84,821.84,821.84,821.84,-14.240000000000009
2000-02-10,842.87,842.87,842.87,842.87,21.029999999999973
2000-02-11,815.15,815.15,815.15,815.15,-27.720000000000027
2000-02-14,816.72,816.72,816.72,816.72,1.57000000000005
2000-02-15,819.94,819.94,819.94,819.94,3.2200000000000273
2000-02-16,814.8,814.8,814.8,814.8,-5.1400000000001
2000-02-17,833.26,833.26,833.26,833.26,18.460000000000036
2000-02-18,804.52,804.52,804.52,804.52,-28.74000000000001
2000-02-22,803.88,803.88,803.88,803.88,-0.6399999999999864
2000-02-23,834.35,834.35,834.35,834.35,30.470000000000027
2000-02-24,849.56,849.56,849.56,849.56,15.209999999999923
2000-02-25,836.41,836.41,836.41,836.41,-13.149999999999977
2000-02-28,832.44,832.44,832.44,832.44,-3.9699999999999136
2000-02-29,845.94,845.94,845.94,845.94,13.5
2000-03-01,857.32,857.32,857.32,857.32,11.379999999999995
2000-03-02,859.01,859.01,859.01,859.01,1.6899999999999409
2000-03-03,889.01,889.01,889.01,889.01,30
2000-03-06,886.81,886.81,886.81,886.81,-2.2000000000000455
2000-03-07,871.81,871.81,871.81,871.81,-15
2000-03-08,878.89,878.89,878.89,878.89,7.080000000000041
2000-03-09,910.4,910.4,910.4,910.4,31.50999999999999
2000-03-10,908.28,908.28,908.28,908.28,-2.1200000000000045
2000-03-13,897.32,897.32,897.32,897.32,-10.959999999999923
2000-03-14,873.56,873.56,873.56,873.56,-23.760000000000105
2000-03-15,860.25,860.25,860.25,860.25,-13.309999999999945
2000-03-16,884.13,884.13,884.13,884.13,23.879999999999995
2000-03-17,911.58,911.58,911.58,911.58,27.450000000000045
2000-03-20,907.94,907.94,907.94,907.94,-3.6399999999999864
2000-03-21,937.04,937.04,937.04,937.04,29.09999999999991
2000-03-22,955.93,955.93,955.93,955.93,18.889999999999986
2000-03-23,977.06,977.06,977.06,977.06,21.129999999999995
2000-03-24,980.54,980.54,980.54,980.54,3.480000000000018
2000-03-27,988.49,988.49,988.49,988.49,7.9500000000000455
2000-03-28,964.3,964.3,964.3,964.3,-24.190000000000055
2000-03-29,935.77,935.77,935.77,935.77,-28.529999999999973
2000-03-30,899.31,899.31,899.31,899.31,-36.460000000000036
2000-03-31,916.71,916.71,916.71,916.71,17.40000000000009
2000-04-03,874.25,874.25,874.25,874.25,-42.460000000000036
2000-04-04,870.86,870.86,870.86,870.86,-3.3899999999999864
2000-04-05,878.11,878.11,878.11,878.11,7.25
2000-04-06,888.9,888.9,888.9,888.9,10.789999999999964
2000-04-07,924.95,924.95,924.95,924.95,36.05000000000007
2000-04-10,887.22,887.22,887.22,887.22,-37.73000000000002
2000-04-11,860.67,860.67,860.67,860.67,-26.550000000000068
2000-04-12,801.86,801.86,801.86,801.86,-58.809999999999945
