"Symbol: $SRTS",,,,,
"Date Time","Open","High","Low","Close","Change"
2000-01-03,319.06,319.06,319.06,319.06,0
2000-01-04,304.94,304.94,304.94,304.94,-14.120000000000005
2000-01-05,309.15,309.15,309.15,309.15,4.2099999999999795
2000-01-06,301.35,301.35,301.35,301.35,-7.7999999999999545
2000-01-07,301.17,301.17,301.17,301.17,-0.18000000000000682
2000-01-10,305.31,305.31,305.31,305.31,4.139999999999986
2000-01-11,297.75,297.75,297.75,297.75,-7.560000000000002
2000-01-12,301.07,301.07,301.07,301.07,3.319999999999993
2000-01-13,302.89,302.89,302.89,302.89,1.8199999999999932
2000-01-14,305.55,305.55,305.55,305.55,2.660000000000025
2000-01-18,305.42,305.42,305.42,305.42,-0.12999999999999545
2000-01-19,306.19,306.19,306.19,306.19,0.7699999999999818
2000-01-20,305.22,305.22,305.22,305.22,-0.9699999999999704
2000-01-21,307.55,307.55,307.55,307.55,2.329999999999984
2000-01-24,300.61,300.61,300.61,300.61,-6.939999999999998
2000-01-25,298.91,298.91,298.91,298.91,-1.6999999999999886
2000-01-26,296.89,296.89,296.89,296.89,-2.0200000000000387
2000-01-27,295.32,295.32,295.32,295.32,-1.5699999999999932
2000-01-28,288.19,288.19,288.19,288.19,-7.1299999999999955
2000-01-31,311.05,311.05,311.05,311.05,22.860000000000014
2000-02-01,307.53,307.53,307.53,307.53,-3.5200000000000387
2000-02-02,304.68,304.68,304.68,304.68,-2.849999999999966
2000-02-03,301.1,301.1,301.1,301.1,-3.579999999999984
2000-02-04,301.35,301.35,301.35,301.35,0.25
2000-02-07,306.73,306.73,306.73,306.73,5.3799999999999955
2000-02-08,311.7,311.7,311.7,311.7,4.96999999999997
2000-02-09,305.39,305.39,305.39,305.39,-6.310000000000002
2000-02-10,308.11,308.11,308.11,308.11,2.7200000000000273
2000-02-11,302.01,302.01,302.01,302.01,-6.100000000000023
2000-02-14,302.3,302.3,302.3,302.3,0.29000000000002046
2000-02-15,299.27,299.27,299.27,299.27,-3.0300000000000296
2000-02-16,298.38,298.38,298.38,298.38,-0.8899999999999864
2000-02-17,298.85,298.85,298.85,298.85,0.4700000000000273
2000-02-18,284.15,284.15,284.15,284.15,-14.700000000000045
2000-02-22,284.24,284.24,284.24,284.24,0.09000000000003183
2000-02-23,279.89,279.89,279.89,279.89,-4.350000000000023
2000-02-24,276.78,276.78,276.78,276.78,-3.1100000000000136
2000-02-25,272.57,272.57,272.57,272.57,-4.2099999999999795
2000-02-28,277.28,277.28,277.28,277.28,4.7099999999999795
2000-02-29,285.92,285.92,285.92,285.92,8.640000000000043
2000-03-01,298.92,298.92,298.92,298.92,13
2000-03-02,310.96,310.96,310.96,310.96,12.039999999999964
2000-03-03,314.57,314.57,314.57,314.57,3.6100000000000136
2000-03-06,311.62,311.62,311.62,311.62,-2.9499999999999886
2000-03-07,303.58,303.58,303.58,303.58,-8.04000000000002
2000-03-08,306.86,306.86,306.86,306.86,3.2800000000000296
2000-03-09,314.96,314.96,314.96,314.96,8.099999999999966
2000-03-10,316.72,316.72,316.72,316.72,1.7600000000000477
2000-03-13,313.9,313.9,313.9,313.9,-2.82000000000005
2000-03-14,304.8,304.8,304.8,304.8,-9.099999999999966
2000-03-15,301.66,301.66,301.66,301.66,-3.1399999999999864
2000-03-16,312.79,312.79,312.79,312.79,11.129999999999995
2000-03-17,315.26,315.26,315.26,315.26,2.4699999999999704
2000-03-20,314.37,314.37,314.37,314.37,-0.8899999999999864
2000-03-21,316.3,316.3,316.3,316.3,1.9300000000000068
2000-03-22,312.34,312.34,312.34,312.34,-3.9600000000000364
2000-03-23,315.48,315.48,315.48,315.48,3.140000000000043
2000-03-24,316.53,316.53,316.53,316.53,1.0499999999999545
2000-03-27,321.39,321.39,321.39,321.39,4.860000000000014
2000-03-28,315.51,315.51,315.51,315.51,-5.8799999999999955
2000-03-29,319,319,319,319,3.490000000000009
2000-03-30,315.5,315.5,315.5,315.5,-3.5
2000-03-31,317.2,317.2,317.2,317.2,1.6999999999999886
2000-04-03,322,322,322,322,4.800000000000011
2000-04-04,318.54,318.54,318.54,318.54,-3.4599999999999795
2000-04-05,315.08,315.08,315.08,315.08,-3.4600000000000364
2000-04-06,320.24,320.24,320.24,320.24,5.160000000000025
2000-04-07,321.07,321.07,321.07,321.07,0.8299999999999841
2000-04-10,316.77,316.77,316.77,316.77,-4.300000000000011
2000-04-11,317.85,317.85,317.85,317.85,1.080000000000041
2000-04-12,310.22,310.22,310.22,310.22,-7.6299999999999955
2000-04-13,306.54,306.54,306.54,306.54,-3.680000000000007
2000-04-14,289.8,289.8,289.8,289.8,-16.74000000000001
2000-04-17,286.09,286.09,286.09,286.09,-3.7100000000000364
2000-04-18,296.03,296.03,296.03,296.03,9.939999999999998
2000-04-19,298.64,298.64,298.64,298.64,2.6100000000000136
2000-04-20,293.68,293.68,293.68,293.68,-4.9599999999999795
2000-04-24,293.11,293.11,293.11,293.11,-0.5699999999999932
2000-04-25,307.02,307.02,307.02,307.02,13.909999999999968
2000-04-26,299.56,299.56,299.56,299.56,-7.4599999999999795
2000-04-27,299.31,299.31,299.31,299.31,-0.25
2000-04-28,297.44,297.44,297.44,297.44,-1.8700000000000045
2000-05-01,303.83,303.83,303.83,303.83,6.389999999999986
2000-05-02,284.86,284.86,284.86,284.86,-18.96999999999997
2000-05-03,281.12,281.12,281.12,281.12,-3.740000000000009
2000-05-04,279.81,279.81,279.81,279.81,-1.3100000000000023
2000-05-05,283.29,283.29,283.29,283.29,3.480000000000018
2000-05-08,281.9,281.9,281.9,281.9,-1.3900000000000432
2000-05-09,279.26,279.26,279.26,279.26,-2.6399999999999864
2000-05-10,277.61,277.61,277.61,277.61,-1.6499999999999773
2000-05-11,278.7,278.7,278.7,278.7,1.089999999999975
2000-05-12,277.77,277.77,277.77,277.77,-0.9300000000000068
2000-05-15,284.55,284.55,284.55,284.55,6.78000000000003
2000-05-16,287.06,287.06,287.06,287.06,2.509999999999991
2000-05-17,283.1,283.1,283.1,283.1,-3.9599999999999795
2000-05-18,277.1,277.1,277.1,277.1,-6
2000-05-19,265.25,265.25,265.25,265.25,-11.850000000000023
2000-05-22,264.58,264.58,264.58,264.58,-0.6700000000000159
2000-05-23,256.01,256.01,256.01,256.01,-8.569999999999993
2000-05-24,262.82,262.82,262.82,262.82,6.810000000000002
2000-05-25,259.12,259.12,259.12,259.12,-3.6999999999999886
2000-05-26,261.13,261.13,261.13,261.13,2.009999999999991
2000-05-30,268.75,268.75,268.75,268.75,7.6200000000000045
2000-05-31,267.73,267.73,267.73,267.73,-1.0199999999999818
2000-06-01,271.47,271.47,271.47,271.47,3.740000000000009
2000-06-02,275.84,275.84,275.84,275.84,4.369999999999948
2000-06-05,276.66,276.66,276.66,276.66,0.82000000000005
