,One,Two,Three,Four,Five
12/31/1968,3.6,3.8,4,4,3.9
3/31/1969,3.5,3.8,3.8,3.9,#N/A
6/30/1969,3.5,3.6,3.8,3.9,#N/A
9/30/1969,3.6,3.8,3.95,3.9,#N/A
12/31/1969,3.8,4.1,4.4,4.4,4.3
3/31/1970,4,4.35,4.4,4.3,#N/A
6/30/1970,4.65,4.8,4.75,4.6,4.4
9/30/1970,5.1,5.2,5.1,5,4.8
12/31/1970,5.7,5.7,5.6,5.5,5.4
3/31/1971,6,5.8,5.7,5.6,5.4
6/30/1971,5.9,5.8,5.7,5.6,5.4
9/30/1971,5.9,5.7,5.5,5.3,5.1
12/31/1971,5.9,5.8,5.6,5.4,5.3
3/31/1972,5.85,5.7,5.5,5.4,5.2
6/30/1972,5.7,5.6,5.4,5.3,5.2
9/30/1972,5.6,5.4,5.3,5.2,5.1
12/31/1972,5.4,5.2,5.1,5,5
3/31/1973,5.05,4.9,4.9,4.9,4.8
6/30/1973,4.9,4.8,4.8,4.8,4.95
9/30/1973,4.8,4.9,5.1,5.2,5.2
12/31/1973,4.8,5.1,5.5,5.7,5.8
3/31/1974,5.3,5.6,5.9,6,5.85
6/30/1974,5.4,5.6,5.8,5.7,5.55
9/30/1974,5.4,5.7,5.85,5.9,#N/A
12/31/1974,6.4,6.9,7.3,7.2,7
3/31/1975,8,8.5,8.3,8.1,8
6/30/1975,9,9.1,9,8.65,8.45
9/30/1975,8.65,8.5,8.4,8.1,7.8
12/31/1975,8.3,8.1,7.9,7.6,7.4
3/31/1976,7.9,7.7,7.5,7.3,7.2
6/30/1976,7.4,7.2,7,6.8,6.7
9/30/1976,7.3,7.1,6.9,6.7,6.6
12/31/1976,7.7,7.6,7.3,7.2,7
3/31/1977,7.8,7.5,7.3,7,6.9
6/30/1977,7.1,7,6.8,6.7,6.6
9/30/1977,6.9,6.8,6.7,6.6,6.5
12/31/1977,6.9,6.8,6.7,6.7,6.7
3/31/1978,6.4,6.35,6.3,6.2,6.1
6/30/1978,6.1,6,6,6.1,6.1
9/30/1978,6.1,6,6.1,6.2,6.35
12/31/1978,6,6.1,6.3,6.5,6.6
3/31/1979,5.9,6.1,6.4,6.7,6.7
6/30/1979,5.9,6.2,6.45,6.55,6.7
9/30/1979,6,6.5,7.1,7.1,7.15
12/31/1979,6.2,6.8,7.4,7.5,7.5
3/31/1980,6.3,6.6,7,7.1,7.2
6/30/1980,7.2,7.7,8,8,7.9
9/30/1980,8,8.3,8.5,8.3,8.1
12/31/1980,7.7,7.8,7.7,7.6,7.5
3/31/1981,7.6,7.7,7.6,7.5,7.3
6/30/1981,7.4,7.5,7.3,7.1,7
9/30/1981,7.2,7.5,7.6,7.4,7.2
12/31/1981,8.1,8.4,8.3,8.2,8
3/31/1982,8.9,9.1,9,8.8,8.5
