DATE,UNRATE
12/31/1947,3.733333333
3/31/1948,3.666666667
6/30/1948,3.766666667
9/30/1948,3.833333333
12/31/1948,4.666666667
3/31/1949,5.866666667
6/30/1949,6.7
9/30/1949,6.966666667
12/31/1949,6.4
3/31/1950,5.566666667
6/30/1950,4.633333333
9/30/1950,4.233333333
12/31/1950,3.5
3/31/1951,3.1
6/30/1951,3.166666667
9/30/1951,3.366666667
12/31/1951,3.066666667
3/31/1952,2.966666667
6/30/1952,3.233333333
9/30/1952,2.833333333
12/31/1952,2.7
3/31/1953,2.566666667
6/30/1953,2.733333333
9/30/1953,3.7
12/31/1953,5.266666667
3/31/1954,5.8
6/30/1954,5.966666667
9/30/1954,5.333333333
12/31/1954,4.733333333
3/31/1955,4.4
6/30/1955,4.1
9/30/1955,4.233333333
12/31/1955,4.033333333
3/31/1956,4.2
6/30/1956,4.133333333
9/30/1956,4.133333333
12/31/1956,3.933333333
3/31/1957,4.1
6/30/1957,4.233333333
9/30/1957,4.933333333
12/31/1957,6.3
3/31/1958,7.366666667
6/30/1958,7.333333333
9/30/1958,6.366666667
12/31/1958,5.833333333
3/31/1959,5.1
6/30/1959,5.266666667
9/30/1959,5.6
12/31/1959,5.133333333
3/31/1960,5.233333333
6/30/1960,5.533333333
9/30/1960,6.266666667
12/31/1960,6.8
3/31/1961,7
6/30/1961,6.766666667
9/30/1961,6.2
12/31/1961,5.633333333
3/31/1962,5.533333333
6/30/1962,5.566666667
9/30/1962,5.533333333
12/31/1962,5.766666667
3/31/1963,5.733333333
6/30/1963,5.5
9/30/1963,5.566666667
12/31/1963,5.466666667
3/31/1964,5.2
6/30/1964,5
9/30/1964,4.966666667
12/31/1964,4.9
3/31/1965,4.666666667
6/30/1965,4.366666667
9/30/1965,4.1
12/31/1965,3.866666667
3/31/1966,3.833333333
6/30/1966,3.766666667
9/30/1966,3.7
12/31/1966,3.833333333
3/31/1967,3.833333333
6/30/1967,3.8
9/30/1967,3.9
12/31/1967,3.733333333
3/31/1968,3.566666667
6/30/1968,3.533333333
9/30/1968,3.4
12/31/1968,3.4
3/31/1969,3.433333333
6/30/1969,3.566666667
9/30/1969,3.566666667
12/31/1969,4.166666667
3/31/1970,4.766666667
6/30/1970,5.166666667
9/30/1970,5.833333333
12/31/1970,5.933333333
3/31/1971,5.9
6/30/1971,6.033333333
9/30/1971,5.933333333
12/31/1971,5.766666667
3/31/1972,5.7
6/30/1972,5.566666667
9/30/1972,5.366666667
12/31/1972,4.933333333
3/31/1973,4.933333333
6/30/1973,4.8
9/30/1973,4.766666667
12/31/1973,5.133333333
3/31/1974,5.2
6/30/1974,5.633333333
9/30/1974,6.6
12/31/1974,8.266666667
3/31/1975,8.866666667
6/30/1975,8.466666667
9/30/1975,8.3
12/31/1975,7.733333333
3/31/1976,7.566666667
6/30/1976,7.733333333
9/30/1976,7.766666667
12/31/1976,7.5
3/31/1977,7.133333333
6/30/1977,6.9
9/30/1977,6.666666667
12/31/1977,6.333333333
3/31/1978,6
6/30/1978,6.033333333
9/30/1978,5.9
12/31/1978,5.866666667
3/31/1979,5.7
6/30/1979,5.866666667
9/30/1979,5.966666667
12/31/1979,6.3
3/31/1980,7.333333333
6/30/1980,7.666666667
9/30/1980,7.4
12/31/1980,7.433333333
3/31/1981,7.4
6/30/1981,7.4
9/30/1981,8.233333333
12/31/1981,8.833333333
3/31/1982,9.433333333
6/30/1982,9.9
9/30/1982,10.66666667
12/31/1982,10.36666667
3/31/1983,10.13333333
6/30/1983,9.366666667
9/30/1983,8.533333333
12/31/1983,7.866666667
3/31/1984,7.433333333
6/30/1984,7.433333333
9/30/1984,7.3
12/31/1984,7.233333333
3/31/1985,7.3
6/30/1985,7.2
9/30/1985,7.033333333
12/31/1985,7.033333333
3/31/1986,7.166666667
6/30/1986,6.966666667
9/30/1986,6.833333333
12/31/1986,6.6
3/31/1987,6.266666667
6/30/1987,6
9/30/1987,5.833333333
12/31/1987,5.7
3/31/1988,5.466666667
6/30/1988,5.466666667
9/30/1988,5.333333333
12/31/1988,5.2
3/31/1989,5.233333333
6/30/1989,5.233333333
9/30/1989,5.366666667
12/31/1989,5.3
3/31/1990,5.333333333
6/30/1990,5.7
9/30/1990,6.133333333
12/31/1990,6.6
3/31/1991,6.833333333
6/30/1991,6.866666667
9/30/1991,7.1
12/31/1991,7.366666667
3/31/1992,7.6
6/30/1992,7.633333333
9/30/1992,7.366666667
12/31/1992,7.133333333
3/31/1993,7.066666667
6/30/1993,6.8
9/30/1993,6.633333333
12/31/1993,6.566666667
3/31/1994,6.2
6/30/1994,6
9/30/1994,5.633333333
12/31/1994,5.466666667
3/31/1995,5.666666667
6/30/1995,5.666666667
9/30/1995,5.566666667
12/31/1995,5.533333333
3/31/1996,5.5
6/30/1996,5.266666667
9/30/1996,5.333333333
12/31/1996,5.233333333
3/31/1997,5
6/30/1997,4.866666667
9/30/1997,4.666666667
12/31/1997,4.633333333
3/31/1998,4.4
6/30/1998,4.533333333
9/30/1998,4.433333333
12/31/1998,4.3
3/31/1999,4.266666667
6/30/1999,4.233333333
9/30/1999,4.066666667
12/31/1999,4.033333333
3/31/2000,3.933333333
6/30/2000,4
9/30/2000,3.9
12/31/2000,4.233333333
3/31/2001,4.4
6/30/2001,4.833333333
9/30/2001,5.5
12/31/2001,5.7
3/31/2002,5.833333333
6/30/2002,5.733333333
9/30/2002,5.866666667
12/31/2002,5.866666667
3/31/2003,6.133333333
6/30/2003,6.133333333
9/30/2003,5.833333333
12/31/2003,5.7
3/31/2004,5.6
6/30/2004,5.433333333
9/30/2004,5.433333333
12/31/2004,5.3
3/31/2005,5.1
6/30/2005,4.966666667
9/30/2005,4.966666667
12/31/2005,4.733333333
3/31/2006,4.633333333
6/30/2006,4.633333333
9/30/2006,4.433333333
12/31/2006,4.5
3/31/2007,4.5
6/30/2007,4.666666667
9/30/2007,4.8
12/31/2007,5
3/31/2008,5.333333333
6/30/2008,6
9/30/2008,6.866666667
12/31/2008,8.266666667
3/31/2009,9.3
6/30/2009,9.633333333
9/30/2009,9.933333333
12/31/2009,9.833333333
3/31/2010,9.633333333
6/30/2010,9.466666667
9/30/2010,9.5
12/31/2010,9.033333333
3/31/2011,9.066666667
6/30/2011,9
9/30/2011,8.633333333
12/31/2011,8.266666667
3/31/2012,8.2
6/30/2012,8.033333333
9/30/2012,7.8
12/31/2012,7.733333333
3/31/2013,7.533333333
6/30/2013,7.233333333
9/30/2013,6.933333333
12/31/2013,6.666666667
3/31/2014,6.233333333
6/30/2014,6.1
9/30/2014,5.7
12/31/2014,5.566666667
3/31/2015,5.4
6/30/2015,5.1
9/30/2015,5
12/31/2015,4.933333333
3/31/2016,4.866666667
6/30/2016,4.933333333
9/30/2016,4.733333333
12/31/2016,4.666666667
3/31/2017,4.333333333
6/30/2017,4.3
9/30/2017,4.1
12/31/2017,4.1
3/31/2018,3.9
6/30/2018,3.833333333
9/30/2018,3.8
