Year,East,West,South,North
1595,,,,37.28241736
1596,,,,37.66862825
1597,,,,38.05483915
1598,,,,38.44105004
1599,,,,38.82726093
1600,,,,39.23549704
1601,,,,39.62170793
1602,,,,40.00791882
1603,,,,40.39412971
1604,,,,40.7803406
1605,,,,41.16655149
1606,,,,41.55276239
1607,,,,41.93897328
1608,,,,42.32518417
1609,,,,42.71139506
1610,,,,43.09760595
1611,,93.7061877,,43.48381684
1612,,67.67617787,,43.87002773
1613,,67.67617787,,44.25623863
1614,,67.67617787,,44.64244952
1615,,67.60862381,,45.02866041
1616,,67.67617787,,45.4148713
1617,,67.67617787,,45.80108219
1618,,67.91833459,,46.18729308
1619,,75.79217306,,46.57350397
1620,,71.35873811,,46.01656222
1621,,71.497045,,46.40277312
1622,,71.35873811,,46.78898401
1623,,71.15573819,,47.1751949
1624,,71.35873811,,47.56140579
1625,,71.35873811,,47.94761668
1626,,71.35873811,,48.33382757
1627,,72.44121186,,48.72003846
1628,,71.35873811,,49.10624935
1629,,76.63267875,,49.49246025
1630,,287.0835608,,49.87867114
1631,,330.5887936,,51.03655237
1632,,274.2225094,,51.42276326
1633,,176.3269887,,51.80897415
1634,,95.77573743,,52.19518504
1635,,97.44306176,,52.58139594
1636,,89.31404262,,52.96760683
1637,,89.31404262,,53.35381772
1638,,89.31404262,,54.72238424
1639,,89.31404262,,54.80036535
1640,,91.4497767,,57.20992282
1641,,81.85717272,,57.48374622
1642,,100.2284889,,57.75756961
1643,,87.1757503,,58.03139301
1644,,102.2895626,,58.30521641
1645,,76.62899514,,58.5790398
1646,,102.7993543,,58.8528632
1647,,103.2581725,,59.1266866
1648,,103.7166068,,59.40050999
1649,,104.1746598,,59.67433339
1650,48.36966725,104.6323338,88.17306725,59.94815678
1651,48.48339025,105.2033544,88.28679025,60.33570318
1652,48.48339025,105.6602777,88.28679025,60.60952658
1653,48.48339025,106.1168292,88.28679025,60.88334997
1654,48.48339025,106.5730112,88.28679025,61.15717337
1655,48.48339025,107.028826,88.28679025,61.43099677
1656,48.48339025,107.4842759,88.28679025,61.70482016
1657,48.44581095,107.9017837,88.24921095,61.97864356
1658,53.77483167,108.3940897,90.11226825,62.25246696
1659,48.48339025,108.8484581,88.28679025,62.52629035
1660,48.48339025,109.3024703,88.28679025,62.80011375
1661,53.59192853,109.7935751,90.39683376,63.07393715
1662,69.38577921,110.2815088,95.43890569,63.34776054
1663,47.86899915,110.9480005,87.67239915,63.62158394
1664,47.26404714,111.1950005,87.06744714,63.89540733
1665,35.39068121,111.4662012,82.0124279,58.72096498
1666,41.78279406,111.4737371,85.5997289,50.55991741
1667,49.36378149,112.0707618,89.16718149,63.49466296
1668,48.3595896,112.5220003,88.1629896,63.52874466
1669,45.97318732,113.0813884,86.98531032,63.71954277
1670,64.12332903,113.0936874,92.51379871,64.33754952
1671,47.8645335,113.6548414,87.6679335,64.46213301
1672,47.8645335,114.1047412,87.6679335,64.49621471
1673,54.2328799,114.6742372,91.03778513,64.53029641
1674,49.66447187,115.2793019,89.27418895,64.56437811
1675,47.17996261,115.849413,86.78967969,64.59845981
1676,47.46027248,116.4010595,87.06998956,64.63254151
1677,47.46027248,116.8493282,87.06998956,70.34928065
1678,47.46027248,117.2972761,87.06998956,64.70070491
1679,47.46027248,117.744905,87.06998956,64.73478661
1680,47.46027248,118.1922167,87.06998956,64.76886831
1681,47.46027248,118.639213,87.06998956,64.80295001
1682,47.46027248,119.0858955,87.06998956,64.83703171
1683,47.99287772,119.532266,87.60259479,64.87111341
1684,48.25340912,120.2388576,87.8631262,59.8678155
1685,50.24656605,120.8000335,88.92134584,88.72913007
1686,55.74149911,120.9049762,90.20906113,73.25306395
1687,51.4146834,121.0904106,87.75211999,72.01747774
1688,47.7929248,121.659497,86.93517324,73.57804655
1689,40.13562729,122.1040304,83.95256213,56.1787221
1690,53.7540896,122.5482633,88.6974896,60.75042379
1691,69.17363374,123.2488468,94.75929158,65.92088933
1692,56.92025159,123.435834,90.24365159,69.27784871
1693,45.07627886,123.8791749,86.08840186,69.31193041
1694,49.750452,124.3222216,87.933852,69.84601211
1695,50.54688006,124.6992444,88.73028006,69.88009381
1696,51.93814935,125.0760923,90.12154935,133.0951364
1697,51.93814935,125.4527659,90.12154935,69.94825721
1698,51.93814935,125.8292659,90.12154935,69.98233891
1699,51.93814935,126.2055931,90.12154935,51.49531391
1700,56.75654433,126.1373651,92.62651228,69.78808243
1701,61.07516593,126.5313284,106.7051226,69.82216413
1702,55.69675716,126.9193497,100.8592452,69.85624583
1703,63.41673963,127.312972,108.111759,69.89032753
1704,52.81704563,127.4755761,101.7192828,69.92440923
1705,61.22437733,128.584491,102.1796476,69.95849093
1706,49.28098941,128.6255625,98.65069519,54.64168741
1707,48.5989079,127.2898462,97.96861368,68.33261708
1708,54.3761017,128.7156755,98.60365243,79.06564786
1709,48.49556356,128.0002167,96.46286342,67.79535671
1710,57.59159973,128.0406219,95.74205813,70.66454915
1711,67.57441082,128.7503234,95.90802776,74.88997777
1712,81.30819999,128.9981631,95.61775769,123.3590048
1713,66.13579827,129.615197,94.46941521,184.8060578
1714,36.48584523,129.5279793,91.93264335,88.35980608
1715,55.41301396,130.2485695,99.17309605,111.8632663
1716,56.53840143,130.4322746,100.2984835,110.1646842
1717,56.737974,130.5350214,104.2378052,221.1423482
1718,68.33795517,131.4744342,107.8908195,160.2687575
1719,65.44357034,131.8654212,109.6711211,109.3929086
1720,62.69871371,132.3659018,109.2636076,107.2267135
1721,72.73743171,132.5026369,109.9529528,103.7331383
1722,70.83369855,132.2121436,109.4516256,104.3226997
1723,62.22768725,132.38319,105.0528321,95.01822965
1724,58.70035093,133.0677176,103.8628389,85.66383853
1725,57.78381281,133.5674098,106.68605,85.90654975
1726,63.69716782,134.2112264,106.054844,104.1271815
1727,80.89913126,134.2777659,108.7652796,66.76377193
1728,88.5494543,135.3598848,117.3505399,65.74460638
1729,82.04249942,135.7493034,110.3761164,109.22153
1730,64.81886755,136.132797,109.9813556,149.8215016
1731,84.76842447,136.2448902,111.6996355,255.4024998
1732,83.51581647,136.7896722,109.9795588,82.14133931
1733,91.89319245,136.9534017,110.4099679,86.76786757
1734,93.28608669,137.5440498,119.2823604,75.83230705
1735,97.74341563,138.4251828,119.9999402,133.9673132
1736,117.4233432,138.7500535,120.5136536,131.9612694
1737,88.66155708,137.7877928,118.3975799,139.6681852
1738,98.82080879,140.3804528,122.0122707,136.8802856
1739,90.15055574,140.8376134,122.6913904,87.21249544
1740,81.16186328,142.0621976,121.1821962,79.91713055
1741,85.77408688,140.8050104,122.5221394,90.40577328
1742,100.840663,142.7160745,129.1742799,54.65686187
1743,109.9406562,142.2607925,135.9369299,86.56970784
1744,152.8143333,143.2423975,151.2299572,98.22557937
1745,151.0380033,143.0753844,140.1042544,80.73319404
1746,96.48843182,143.0755914,115.9401446,106.0055325
1747,95.10959046,143.4623252,114.5613032,88.47347009
1748,100.3858317,145.0608705,117.0327326,108.2321314
1749,80.67492595,145.412689,114.6181666,144.0607486
1750,71.01732625,145.9617682,157.6632099,95.53410071
1751,97.87270028,146.3421568,159.2752773,96.06349731
1752,145.0316004,147.3918643,188.2029004,96.5928939
1753,119.3664703,147.11405,179.3666414,97.12229049
1754,131.9851134,147.4997844,181.2335057,97.65168708
1755,115.3334802,147.9257765,173.9312454,98.18108368
1756,102.3803556,148.2650599,160.5106521,98.71048027
1757,95.29976993,149.0659009,165.1167825,99.23987686
1758,127.688204,148.7585287,177.8715336,99.76927345
1759,132.8367431,149.4148108,174.6056372,100.29867
1760,96.89076805,149.7997072,171.8499356,100.8280666
1761,160.1096987,129.5351418,173.3630057,101.3574632
1762,143.32393,134.7464342,171.5362335,101.8868598
1763,136.5052046,141.3095945,174.0668809,102.4162564
1764,137.3269991,131.0597576,176.2910814,102.945653
1765,151.6714622,133.4853332,179.4162971,103.4750496
1766,165.6984053,198.755036,182.6914614,102.5700082
1767,157.844338,153.5445132,191.6662652,103.0994048
1768,175.1288755,150.1306432,201.4713044,103.6288014
1769,211.1780843,159.7297361,211.809738,104.1581979
1770,270.9165959,166.0929466,220.5638394,104.6875945
1771,512.54735,170.0650084,236.8747084,105.2169911
1772,175.0293107,135.1081978,194.7968503,105.7463877
1773,150.988176,136.2902392,181.9749629,106.2757843
1774,130.0546457,176.1487693,178.805241,106.8051809
1775,147.232894,131.9960216,174.9474005,107.3345775
1776,306.577657,138.295231,185.6371356,107.8639741
1777,158.2988972,148.0914361,178.0664368,108.3933707
1778,147.1709565,140.4088423,179.0926807,108.9227673
1779,157.5486389,161.6011599,177.3161785,109.4521639
1780,160.9129666,138.5087093,204.107069,109.9815605
1781,134.1325275,119.3760604,168.351232,110.5109571
1782,102.8275464,120.2683283,124.8920663,111.0403537
1783,125.0698124,117.6445737,155.3617803,111.5697502
1784,135.5173745,115.3789696,169.3621041,112.0991468
1785,105.0237678,118.2604393,127.0882877,112.6285434
1786,128.7744385,112.0850614,159.6273688,113.15794
1787,176.4787286,122.4585946,224.1605299,113.6873366
1788,143.8053155,166.7476229,177.6500451,114.2167332
1789,141.9600006,129.8180269,178.7965295,114.7461298
1790,121.5306309,121.670409,153.3184985,115.2755264
1791,131.3635109,179.8450862,163.5253534,115.804923
1792,142.0207686,212.7518466,176.6134481,114.8147583
1793,148.4014383,245.1982651,187.4818167,115.3441549
1794,113.3126481,178.0341667,141.547754,115.8931128
1795,86.22008314,121.8191287,102.1140169,116.4225094
1796,88.00658668,164.0208181,104.2744954,116.951906
1797,100.5149288,170.6495948,121.4575239,117.4813025
1798,101.0361244,229.7181506,121.9787195,118.0106991
1799,91.40106071,197.23866,108.0429443,118.5400957
1800,96.02110604,211.8296107,114.5328642,119.0694923
1801,95.99839587,131.9927214,114.1361791,119.5988889
1802,101.0015743,126.3106606,122.6921192,120.1282855
1803,107.8652643,201.7435294,129.5558093,120.6576821
1804,107.2479662,148.4818214,128.9385111,121.4239208
1805,119.9961203,219.3877692,144.1175022,121.7164753
1806,103.0562573,235.5598244,123.9988524,122.2458719
1807,128.2951527,184.5496993,158.7741081,122.7752685
1808,144.9613104,139.2157769,180.1149522,123.3046651
1809,152.4935442,143.7114488,188.7691108,123.8340617
1810,130.0487533,157.9798678,156.2269972,124.3634583
1811,125.4261674,161.9940358,151.7913987,124.8928548
1812,134.9699531,203.2883501,168.6276952,125.4222514
1813,129.6691347,177.0787628,156.9693033,125.951648
1814,108.2760165,137.4696438,127.8781872,90.78664684
1815,118.2448264,131.826828,141.181259,71.89349089
1816,115.8188502,109.6841096,137.9758206,80.21162683
1817,120.3563647,111.0242257,144.1647099,106.8678073
1818,115.9653519,169.7877695,138.2462851,141.2141355
1819,126.8892353,167.871455,153.2523803,141.2505739
